Source,Target,Type,Id,Label,timeset,Weight,action
170,279,Directed,6336,invite_members,,1,invite_members
164,62,Directed,6337,invite_members,,1,invite_members
139,107,Directed,6339,text_reply,,3,text_reply
107,139,Directed,6343,text_reply,,2,text_reply
0,118,Directed,6344,text_reply,,2,text_reply
221,212,Directed,6345,invite_members,,1,invite_members
212,117,Directed,6346,invite_members,,1,invite_members
303,303,Directed,6347,text_reply,,1,text_reply
269,53,Directed,6348,invite_members,,1,invite_members
205,7,Directed,6349,invite_members,,1,invite_members
118,178,Directed,6350,text_reply,,1,text_reply
118,217,Directed,6351,text_reply,,1,text_reply
217,118,Directed,6352,text_reply,,2,text_reply
5,118,Directed,6353,text_reply,,13,text_reply
231,118,Directed,6357,text_reply,,1,text_reply
318,154,Directed,6359,text_reply,,1,text_reply
8,26,Directed,6363,invite_members,,1,invite_members
178,118,Directed,6364,text_reply,,1,text_reply
118,5,Directed,6365,text_reply,,8,text_reply
118,296,Directed,6369,text_reply,,17,text_reply
107,257,Directed,6374,text_reply,,11,text_reply
257,107,Directed,6375,text_reply,,3,text_reply
5,257,Directed,6376,text_reply,,1,text_reply
307,215,Directed,6377,text_reply,,2,text_reply
215,307,Directed,6378,text_reply,,2,text_reply
142,211,Directed,6383,invite_members,,1,invite_members
228,19,Directed,6384,invite_members,,1,invite_members
313,17,Directed,6385,text_reply,,1,text_reply
17,313,Directed,6386,text_reply,,1,text_reply
142,217,Directed,6409,text_reply,,1,text_reply
169,257,Directed,6413,text_reply,,4,text_reply
278,257,Directed,6416,text_reply,,1,text_reply
217,5,Directed,6417,text_reply,,1,text_reply
231,5,Directed,6418,text_reply,,1,text_reply
46,217,Directed,6424,text_reply,,1,text_reply
169,139,Directed,6425,text_reply,,1,text_reply
118,167,Directed,6427,text_reply,,1,text_reply
188,118,Directed,6433,text_reply,,14,text_reply
118,188,Directed,6435,text_reply,,14,text_reply
217,215,Directed,6437,text_reply,,2,text_reply
167,108,Directed,6438,text_reply,,1,text_reply
321,217,Directed,6439,text_reply,,1,text_reply
107,321,Directed,6440,text_reply,,1,text_reply
321,107,Directed,6441,text_reply,,2,text_reply
107,103,Directed,6442,text_reply,,1,text_reply
321,103,Directed,6444,text_reply,,1,text_reply
118,144,Directed,6445,text_reply,,3,text_reply
139,144,Directed,6446,text_reply,,1,text_reply
215,217,Directed,6447,text_reply,,1,text_reply
159,215,Directed,6449,text_reply,,1,text_reply
118,103,Directed,6450,text_reply,,2,text_reply
103,118,Directed,6451,text_reply,,3,text_reply
103,191,Directed,6452,text_reply,,1,text_reply
118,46,Directed,6453,text_reply,,2,text_reply
191,118,Directed,6454,text_reply,,4,text_reply
191,103,Directed,6455,text_reply,,1,text_reply
118,191,Directed,6456,text_reply,,2,text_reply
321,257,Directed,6457,text_reply,,5,text_reply
