Source,Target,Type,Id,Label,timeset,Weight,action
123,81,Directed,13237,text_reply,,5,text_reply
81,16,Directed,13283,text_reply,,7,text_reply
104,81,Directed,13290,text_reply,,1,text_reply
81,96,Directed,13306,text_reply,,1,text_reply
23,81,Directed,13308,text_reply,,14,text_reply
55,54,Directed,13324,text_reply,,3,text_reply
54,55,Directed,13328,text_reply,,3,text_reply
77,104,Directed,13349,text_reply,,1,text_reply
81,77,Directed,13351,text_reply,,5,text_reply
77,81,Directed,13354,text_reply,,2,text_reply
96,118,Directed,13363,text_reply,,7,text_reply
61,118,Directed,13364,text_reply,,1,text_reply
79,23,Directed,13368,text_reply,,1,text_reply
123,123,Directed,13374,text_reply,,1,text_reply
55,118,Directed,13375,text_reply,,3,text_reply
118,55,Directed,13383,text_reply,,1,text_reply
123,55,Directed,13385,text_reply,,1,text_reply
24,81,Directed,13431,text_reply,,7,text_reply
81,24,Directed,13436,text_reply,,3,text_reply
81,23,Directed,13454,text_reply,,11,text_reply
24,104,Directed,13464,text_reply,,2,text_reply
104,24,Directed,13465,text_reply,,1,text_reply
95,24,Directed,13468,text_reply,,1,text_reply
118,81,Directed,13510,text_reply,,15,text_reply
105,81,Directed,13512,text_reply,,1,text_reply
81,105,Directed,13513,text_reply,,2,text_reply
118,90,Directed,13522,text_reply,,1,text_reply
32,47,Directed,13575,text_reply,,3,text_reply
81,90,Directed,13583,text_reply,,1,text_reply
16,24,Directed,13586,text_reply,,2,text_reply
105,77,Directed,13646,text_reply,,1,text_reply
118,77,Directed,13647,text_reply,,4,text_reply
20,77,Directed,13656,text_reply,,4,text_reply
81,118,Directed,13687,text_reply,,9,text_reply
81,79,Directed,13723,text_reply,,2,text_reply
47,55,Directed,13804,text_reply,,1,text_reply
100,20,Directed,13809,text_reply,,1,text_reply
123,16,Directed,13818,text_reply,,2,text_reply
34,81,Directed,13830,text_reply,,1,text_reply
81,34,Directed,13831,text_reply,,1,text_reply
100,81,Directed,13834,text_reply,,1,text_reply
81,100,Directed,13835,text_reply,,1,text_reply
32,23,Directed,13856,text_reply,,4,text_reply
81,32,Directed,13907,text_reply,,1,text_reply
32,81,Directed,13910,text_reply,,1,text_reply
55,81,Directed,13911,text_reply,,1,text_reply
54,54,Directed,13920,text_reply,,1,text_reply
118,106,Directed,13982,text_reply,,4,text_reply
106,118,Directed,13983,text_reply,,4,text_reply
23,106,Directed,13993,text_reply,,1,text_reply
72,23,Directed,14009,text_reply,,1,text_reply
16,77,Directed,14030,text_reply,,3,text_reply
104,20,Directed,14035,text_reply,,5,text_reply
20,104,Directed,14036,text_reply,,6,text_reply
35,23,Directed,14069,text_reply,,1,text_reply
64,39,Directed,14081,text_reply,,1,text_reply
54,39,Directed,14082,text_reply,,2,text_reply
39,47,Directed,14084,text_reply,,1,text_reply
20,39,Directed,14085,text_reply,,1,text_reply
20,32,Directed,14093,text_reply,,12,text_reply
32,77,Directed,14101,text_reply,,1,text_reply
79,81,Directed,14134,text_reply,,1,text_reply
32,20,Directed,14185,text_reply,,10,text_reply
32,32,Directed,14192,text_reply,,1,text_reply
20,90,Directed,14251,text_reply,,2,text_reply
16,20,Directed,14258,text_reply,,2,text_reply
27,104,Directed,14270,text_reply,,1,text_reply
104,27,Directed,14271,text_reply,,1,text_reply
27,27,Directed,14273,text_reply,,1,text_reply
27,77,Directed,14274,text_reply,,1,text_reply
16,27,Directed,14278,text_reply,,2,text_reply
35,16,Directed,14284,text_reply,,1,text_reply
54,107,Directed,14288,text_reply,,1,text_reply
16,16,Directed,14308,text_reply,,2,text_reply
104,90,Directed,14328,text_reply,,2,text_reply
111,31,Directed,14336,text_reply,,1,text_reply
16,111,Directed,14337,text_reply,,1,text_reply
111,16,Directed,14338,text_reply,,1,text_reply
16,91,Directed,14339,text_reply,,1,text_reply
10,91,Directed,14340,text_reply,,1,text_reply
46,10,Directed,14346,text_reply,,1,text_reply
55,16,Directed,14348,text_reply,,1,text_reply
16,55,Directed,14349,text_reply,,1,text_reply
25,16,Directed,14350,text_reply,,1,text_reply
16,110,Directed,14351,text_reply,,1,text_reply
110,110,Directed,14352,text_reply,,1,text_reply
30,16,Directed,14354,text_reply,,1,text_reply
16,56,Directed,14355,text_reply,,4,text_reply
16,41,Directed,14356,text_reply,,1,text_reply
23,56,Directed,14357,text_reply,,1,text_reply
56,23,Directed,14358,text_reply,,1,text_reply
90,97,Directed,14370,text_reply,,1,text_reply
8,83,Directed,14372,text_reply,,2,text_reply
16,120,Directed,14374,text_reply,,1,text_reply
120,83,Directed,14375,text_reply,,1,text_reply
83,120,Directed,14376,text_reply,,1,text_reply
85,23,Directed,14379,text_reply,,1,text_reply
83,83,Directed,14380,text_reply,,1,text_reply
76,83,Directed,14381,text_reply,,5,text_reply
85,83,Directed,14383,text_reply,,1,text_reply
83,76,Directed,14384,text_reply,,1,text_reply
83,85,Directed,14385,text_reply,,1,text_reply
52,85,Directed,14389,text_reply,,1,text_reply
76,85,Directed,14390,text_reply,,1,text_reply
83,42,Directed,14391,text_reply,,3,text_reply
83,74,Directed,14392,text_reply,,2,text_reply
74,83,Directed,14393,text_reply,,1,text_reply
85,42,Directed,14395,text_reply,,1,text_reply
33,70,Directed,14396,text_reply,,2,text_reply
37,85,Directed,14397,text_reply,,1,text_reply
83,37,Directed,14401,text_reply,,1,text_reply
52,37,Directed,14402,text_reply,,1,text_reply
33,83,Directed,14403,text_reply,,1,text_reply
16,85,Directed,14404,text_reply,,1,text_reply
126,83,Directed,14405,text_reply,,1,text_reply
83,33,Directed,14406,text_reply,,1,text_reply
95,16,Directed,14407,text_reply,,1,text_reply
114,33,Directed,14408,text_reply,,1,text_reply
65,50,Directed,14409,text_reply,,1,text_reply
114,103,Directed,14410,text_reply,,5,text_reply
114,83,Directed,14411,text_reply,,3,text_reply
83,114,Directed,14413,text_reply,,1,text_reply
103,83,Directed,14415,text_reply,,1,text_reply
114,70,Directed,14420,text_reply,,2,text_reply
114,65,Directed,14421,text_reply,,6,text_reply
82,43,Directed,14422,text_reply,,1,text_reply
16,65,Directed,14423,text_reply,,1,text_reply
82,113,Directed,14424,text_reply,,1,text_reply
87,114,Directed,14425,text_reply,,3,text_reply
114,87,Directed,14426,text_reply,,3,text_reply
82,112,Directed,14428,text_reply,,6,text_reply
112,65,Directed,14430,text_reply,,4,text_reply
75,65,Directed,14432,text_reply,,1,text_reply
16,112,Directed,14433,text_reply,,1,text_reply
65,114,Directed,14436,text_reply,,1,text_reply
99,99,Directed,14438,text_reply,,1,text_reply
65,99,Directed,14439,text_reply,,1,text_reply
65,52,Directed,14440,text_reply,,1,text_reply
87,70,Directed,14441,text_reply,,1,text_reply
112,114,Directed,14446,text_reply,,1,text_reply
112,70,Directed,14447,text_reply,,1,text_reply
82,114,Directed,14449,text_reply,,1,text_reply
114,4,Directed,14452,text_reply,,5,text_reply
65,4,Directed,14453,text_reply,,1,text_reply
4,114,Directed,14454,text_reply,,5,text_reply
4,65,Directed,14455,text_reply,,1,text_reply
65,0,Directed,14465,text_reply,,1,text_reply
114,0,Directed,14466,text_reply,,1,text_reply
52,112,Directed,14467,text_reply,,1,text_reply
65,65,Directed,14468,text_reply,,1,text_reply
82,90,Directed,14470,text_reply,,8,text_reply
58,52,Directed,14472,text_reply,,1,text_reply
52,58,Directed,14473,text_reply,,1,text_reply
73,40,Directed,14474,text_reply,,1,text_reply
40,73,Directed,14475,text_reply,,3,text_reply
52,17,Directed,14483,text_reply,,1,text_reply
114,52,Directed,14484,text_reply,,2,text_reply
6,126,Directed,14485,text_reply,,1,text_reply
126,6,Directed,14486,text_reply,,1,text_reply
126,114,Directed,14487,text_reply,,1,text_reply
114,6,Directed,14488,text_reply,,4,text_reply
114,126,Directed,14489,text_reply,,1,text_reply
82,20,Directed,14490,text_reply,,3,text_reply
6,114,Directed,14492,text_reply,,2,text_reply
16,108,Directed,14494,text_reply,,1,text_reply
114,108,Directed,14495,text_reply,,3,text_reply
125,108,Directed,14496,text_reply,,4,text_reply
125,114,Directed,14498,text_reply,,5,text_reply
114,125,Directed,14501,text_reply,,4,text_reply
121,125,Directed,14507,text_reply,,1,text_reply
125,121,Directed,14508,text_reply,,1,text_reply
121,108,Directed,14509,text_reply,,1,text_reply
16,2,Directed,14510,text_reply,,1,text_reply
45,2,Directed,14511,text_reply,,1,text_reply
45,125,Directed,14512,text_reply,,1,text_reply
52,45,Directed,14513,text_reply,,1,text_reply
52,114,Directed,14514,text_reply,,2,text_reply
121,114,Directed,14515,text_reply,,1,text_reply
80,114,Directed,14516,text_reply,,1,text_reply
45,18,Directed,14517,text_reply,,1,text_reply
125,66,Directed,14520,text_reply,,1,text_reply
114,3,Directed,14521,text_reply,,1,text_reply
82,18,Directed,14523,text_reply,,7,text_reply
18,18,Directed,14524,text_reply,,2,text_reply
90,82,Directed,14529,text_reply,,1,text_reply
45,6,Directed,14531,text_reply,,1,text_reply
114,115,Directed,14535,text_reply,,1,text_reply
115,114,Directed,14536,text_reply,,1,text_reply
90,18,Directed,14540,text_reply,,1,text_reply
114,62,Directed,14541,text_reply,,1,text_reply
62,114,Directed,14542,text_reply,,1,text_reply
45,84,Directed,14543,text_reply,,1,text_reply
84,45,Directed,14544,text_reply,,1,text_reply
71,116,Directed,14545,text_reply,,1,text_reply
82,12,Directed,14546,text_reply,,21,text_reply
1,84,Directed,14547,text_reply,,1,text_reply
82,11,Directed,14549,text_reply,,1,text_reply
109,119,Directed,14554,text_reply,,2,text_reply
109,114,Directed,14555,text_reply,,1,text_reply
114,109,Directed,14557,text_reply,,2,text_reply
119,4,Directed,14559,text_reply,,1,text_reply
4,119,Directed,14560,text_reply,,1,text_reply
45,109,Directed,14561,text_reply,,1,text_reply
122,114,Directed,14562,text_reply,,1,text_reply
114,38,Directed,14564,text_reply,,1,text_reply
82,45,Directed,14565,text_reply,,2,text_reply
22,6,Directed,14568,text_reply,,1,text_reply
80,52,Directed,14570,text_reply,,1,text_reply
114,124,Directed,14572,text_reply,,1,text_reply
124,114,Directed,14573,text_reply,,1,text_reply
15,124,Directed,14574,text_reply,,3,text_reply
124,15,Directed,14576,text_reply,,3,text_reply
9,87,Directed,14580,text_reply,,1,text_reply
117,114,Directed,14585,text_reply,,2,text_reply
114,117,Directed,14586,text_reply,,2,text_reply
15,13,Directed,14587,text_reply,,1,text_reply
78,114,Directed,14588,text_reply,,1,text_reply
114,78,Directed,14589,text_reply,,1,text_reply
36,114,Directed,14590,text_reply,,1,text_reply
63,114,Directed,14591,text_reply,,1,text_reply
15,108,Directed,14593,text_reply,,1,text_reply
114,15,Directed,14595,text_reply,,1,text_reply
98,92,Directed,14596,text_reply,,1,text_reply
92,98,Directed,14597,text_reply,,1,text_reply
14,45,Directed,14601,text_reply,,1,text_reply
14,114,Directed,14602,text_reply,,1,text_reply
90,12,Directed,14603,text_reply,,2,text_reply
12,90,Directed,14604,text_reply,,1,text_reply
38,51,Directed,14606,text_reply,,1,text_reply
38,98,Directed,14613,text_reply,,1,text_reply
98,38,Directed,14614,text_reply,,1,text_reply
98,52,Directed,14615,text_reply,,1,text_reply
66,98,Directed,14616,text_reply,,1,text_reply
98,66,Directed,14617,text_reply,,1,text_reply
29,29,Directed,14618,text_reply,,2,text_reply
29,114,Directed,14619,text_reply,,2,text_reply
93,68,Directed,14622,text_reply,,1,text_reply
90,69,Directed,14625,text_reply,,1,text_reply
82,67,Directed,14631,text_reply,,1,text_reply
67,67,Directed,14632,text_reply,,1,text_reply
82,86,Directed,14633,text_reply,,1,text_reply
87,86,Directed,14635,text_reply,,1,text_reply
53,92,Directed,14636,text_reply,,1,text_reply
69,88,Directed,14637,text_reply,,1,text_reply
88,69,Directed,14638,text_reply,,1,text_reply
